year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2017,UT,gold,83997,2017,UT,gold,1.0
2017,MD,dsfederal,69672,2017,MD,dsfederal,1.0
2017,MD,vayu,70000,2017,MD,vayu,1.0
2015,CA,mophie,68000,2015,CA,mophie,1.0
2016,TX,aspen,78120,2016,TX,aspen,1.0
2019,NY,22nd century,80000,2019,NY,22nd century,1.0
2018,CA,l,120000,2018,CA,l,1.0
2019,NY,project applecart,120000,2019,NY,project applecart,1.0
2016,NJ,ana,81600,2016,NJ,ana,1.0
2016,CA,nitrio,89440,2016,CA,nitrio,1.0
2019,CA,deep sentinel corp,100000,2019,CA,deep sentinel corp,1.0
2014,TX,phunware,77000,2014,TX,phunware,1.0
2015,GA,berkwood,58000,2015,GA,berkwood,1.0
2015,CA,lizom,80000,2015,CA,lizom,1.0
2019,WA,sapience,113318,2019,WA,sapience,1.0
2019,IL,talentq,90000,2019,IL,talentq,0.5
2016,AZ,pt,115000,2016,AZ,pt,1.0
2019,MA,opt industries,80000,2019,MA,opt industries,1.0
2018,CA,vungle,115000,2018,CA,vungle,1.0
2016,CA,sweet,61277,2016,CA,sweet,1.0
2018,VA,pyramid,100194,2018,VA,pyramid,1.0
2015,IL,wisor,67163,2015,IL,wisor,1.0
2015,NC,be aerospace,87412,2015,NC,be aerospace,1.0
2016,CA,sigma info,83000,2016,CA,sigma info,1.0
2015,OR,hitek force,62000,2015,OR,hitek force,1.0
2015,KY,h3,70000,2015,KY,h3,0.5
2016,CA,oh my green,105000,2016,CA,oh my green,1.0
2015,VT,keurig green mountain,83418,2015,VT,keurig green mountain,1.0
2019,MD,koolspan,79250,2019,MD,koolspan,1.0
2017,AZ,pegasus  companies,60258,2017,AZ,pegasus  companies,1.0
2019,NY,good apple publishing,72509,2019,NY,good apple publishing,1.0
2012,MO,enterprise s,92000,2012,MO,enterprise s,1.0
2019,NC,sky,84000,2019,NC,sky,1.0
2019,MI,trinity,80750,2019,MI,trinity,0.3333333333333333
2018,PA,smvali,78000,2018,PA,smvali,1.0
2015,NY,windowswear,4000,2015,NY,windowswear,1.0
2015,MA,dreamfund s,73000,2015,MA,dreamfund s,1.0
2015,MA,pleashare,69040,2015,MA,pleashare,1.0
2019,CA,altium,65000,2019,CA,altium,1.0
2017,AL,adtran,65100,2017,AL,adtran,1.0
2018,TX,berachah,90646,2018,TX,berachah,0.2
2016,TX,swift pace,66000,2016,TX,swift pace,0.16666666666666666
2016,NJ,icap  north,71282,2016,NJ,icap  north,1.0
2018,CA,lumiata,120000,2018,CA,lumiata,1.0
2019,MD,intellispar,64875,2019,MD,intellispar,1.0
2017,CA,particle media,122533,2017,CA,particle media,1.0
2014,CA,zenaide,84860,2014,CA,zenaide,1.0
2016,CA,enuma,100500,2016,CA,enuma,0.5
2017,NJ,rigas,93000,2017,NJ,rigas,1.0
2016,WA,brickred,75000,2016,WA,brickred,1.0
2016,CT,kaizen,73000,2016,CT,kaizen,1.0
2017,TX,copper mobile,90085,2017,TX,copper mobile,1.0
2016,CA,gridstore,135000,2016,CA,gridstore,1.0
2014,IL,chopper trading,140000,2014,IL,chopper trading,1.0
2018,TX,ntt,97214,2018,TX,ntt,1.0
2017,UT,progressive leasing,90000,2017,UT,progressive leasing,1.0
2017,MO,fanthreesixty,75000,2017,MO,fanthreesixty,1.0
2019,CA,apptivo,117000,2019,CA,apptivo,1.0
2016,CA,duce,70138,2016,CA,duce,1.0
2019,VA,bodhtree,94000,2019,VA,bodhtree,1.0
2017,FL,isf,70000,2017,FL,isf,1.0
2016,CA,august home,100000,2016,CA,august home,1.0
2015,CA,experts,74000,2015,CA,experts,1.0
2017,DC,evolution finance,56000,2017,DC,evolution finance,1.0
2019,IL,fi administration,65166,2019,IL,fi administration,1.0
2018,CA,4i,91395,2018,CA,4i,1.0
2015,CA,clarice  pvt,73925,2015,CA,clarice  pvt,1.0
2015,NJ,scivantage,90000,2015,NJ,scivantage,1.0
2017,CA,sigmaways,81000,2017,CA,sigmaways,0.3333333333333333
2019,TX,zilliant,85000,2019,TX,zilliant,1.0
2017,CA,rainterra,112000,2017,CA,rainterra,1.0
2016,MA,the hanover insurance,85000,2016,MA,the hanover insurance,1.0
2016,KY,sitek,67000,2016,KY,sitek,1.0
2015,IL,ccc,67163,2015,IL,ccc,1.0
2019,NC,bridgera,69867,2019,NC,bridgera,1.0
2017,CA,google,120000,2017,CA,google,1.0
2018,VA,target,70000,2018,VA,target,0.14285714285714285
2016,VA,armedia,96845,2016,VA,armedia,1.0
2016,NJ,appeagle,95000,2016,NJ,appeagle,1.0
2017,CA,brainfights,100000,2017,CA,brainfights,1.0
2019,WA,amazon media,112000,2019,WA,amazon media,0.5
2017,TX,lymba,69000,2017,TX,lymba,1.0
2015,NY,applied sciences,63330,2015,NY,applied sciences,1.0
2015,CO,wolf robotics,58448,2015,CO,wolf robotics,1.0
2017,PA,egan jones ratings,50000,2017,PA,egan jones ratings,1.0
2018,MI,zion,87000,2018,MI,zion,1.0
2017,CA,pagebites,122533,2017,CA,pagebites,1.0
2016,CA,second spectrum,115000,2016,CA,second spectrum,1.0
2015,CA,veeva,100360,2015,CA,veeva,0.5
2015,AZ,sun,53747,2015,AZ,sun,1.0
2015,PA,turnberry,102773,2015,PA,turnberry,1.0
2016,FL,windlogics,83000,2016,FL,windlogics,1.0
2017,CA,bear river,85000,2017,CA,bear river,1.0
2017,GA,dw practice,90000,2017,GA,dw practice,1.0
2018,MN,alevar,80000,2018,MN,alevar,0.2
2019,WA,karmahub,113318,2019,WA,karmahub,1.0
2018,NY,sbot,120000,2018,NY,sbot,0.5
2015,DE,streamline,71000,2015,DE,streamline,0.5
2015,MA,liaison,76000,2015,MA,liaison,0.5
2019,MD,structural,83221,2019,MD,structural,1.0
2018,TX,bray,63523,2018,TX,bray,1.0
2017,CA,pavilion,110000,2017,CA,pavilion,1.0
2018,CA,chartboost,120000,2018,CA,chartboost,0.5
2016,NJ,munich reinsurance,123000,2016,NJ,munich reinsurance,1.0
2018,CA,spokeo,132573,2018,CA,spokeo,1.0
2017,MI,ghsp,72000,2017,MI,ghsp,1.0
2017,TX,hart energy publishing ll,100000,2017,TX,hart energy publishing ll,1.0
2016,GA,industek,76000,2016,GA,industek,1.0
2016,MI,xalt energy,95000,2016,MI,xalt energy,1.0
2016,CA,m2catalyst,95000,2016,CA,m2catalyst,1.0
2018,CA,circleup,190000,2018,CA,circleup,1.0
2018,CA,lmb mortgage,180000,2018,CA,lmb mortgage,1.0
2018,TX,metasis,65000,2018,TX,metasis,1.0
2015,IL,ennvee techno,67200,2015,IL,ennvee techno,1.0
2015,MD,merchant link,103022,2015,MD,merchant link,1.0
2014,NY,dstillery,85000,2014,NY,dstillery,1.0
2016,CT,i2e,70000,2016,CT,i2e,1.0
2016,GA,the rainmaker  s,44304,2016,GA,the rainmaker  s,1.0
2017,WA,nintendo of,95000,2017,WA,nintendo of,1.0
2016,CA,v,80000,2016,CA,v,1.0
2017,CA,on24,117000,2017,CA,on24,1.0
2017,CA,trimble,100450,2017,CA,trimble,1.0
2015,NJ,vonage,97700,2015,NJ,vonage,1.0
2014,CA,shopkick,105000,2014,CA,shopkick,1.0
2019,FL,amzur,65832,2019,FL,amzur,0.5
2017,CA,intercom,100000,2017,CA,intercom,1.0
2015,CA,imatchative,114400,2015,CA,imatchative,1.0
2016,CA,delighterr,80000,2016,CA,delighterr,1.0
2017,TX,fluxion,66000,2017,TX,fluxion,0.3333333333333333
2016,VA,ippon,112000,2016,VA,ippon,1.0
2019,GA,vadlo,85000,2019,GA,vadlo,0.3333333333333333
2019,NY,kraus,85000,2019,NY,kraus,1.0
2017,CA,motive medical intelligence,97000,2017,CA,motive medical intelligence,1.0
2015,NJ,mitchellmartin,130000,2015,NJ,mitchellmartin,0.5
2016,CA,leetcode,100000,2016,CA,leetcode,1.0
2016,FL,ureveal,60500,2016,FL,ureveal,1.0
2015,CA,veracyte,82763,2015,CA,veracyte,1.0
2019,KY,citilogics,75000,2019,KY,citilogics,1.0
2015,MN,xylo,96000,2015,MN,xylo,0.5
2018,NJ,azhvas,93100,2018,NJ,azhvas,1.0
2015,CA,caribbean broadcasting,99798,2015,CA,caribbean broadcasting,1.0
2015,IL,amlogix,60000,2015,IL,amlogix,1.0
2015,NJ,maptext,70000,2015,NJ,maptext,1.0
2017,CA,blue danube,105000,2017,CA,blue danube,1.0
2019,NC,intelligent,100964,2019,NC,intelligent,0.5
2015,CA,disqus,115000,2015,CA,disqus,1.0
2018,SC,projects,68250,2018,SC,projects,1.0
2015,MA,owneriq,63500,2015,MA,owneriq,1.0
2017,CA,conviva,130000,2017,CA,conviva,1.0
2015,OH,updox,62421,2015,OH,updox,1.0
2016,PA,vertical focus,67000,2016,PA,vertical focus,1.0
2017,CA,appthority,105000,2017,CA,appthority,1.0
2018,NY,alfa,92768,2018,NY,alfa,1.0
2015,DE,envision info,71000,2015,DE,envision info,1.0
2016,VA,niche,76814,2016,VA,niche,1.0
2018,TX,zeomega,113850,2018,TX,zeomega,1.0
2018,GA,vision,83000,2018,GA,vision,0.5
2016,TX,clearblade,70000,2016,TX,clearblade,1.0
2017,CA,centrify,133020,2017,CA,centrify,1.0
2019,TX,ies residential,74000,2019,TX,ies residential,1.0
2017,IL,savvy,85000,2017,IL,savvy,0.3333333333333333
2017,IL,raise marketplace,115000,2017,IL,raise marketplace,1.0
2016,CO,churchill navigation,70304,2016,CO,churchill navigation,1.0
2015,CA,sybase,78959,2015,CA,sybase,1.0
2018,NJ,epeople,93000,2018,NJ,epeople,1.0
2016,TX,globus,75000,2016,TX,globus,1.0
2019,NJ,ip heights,67642,2019,NJ,ip heights,0.5
2015,SC,unitrends,70000,2015,SC,unitrends,1.0
2018,NJ,compugra,92768,2018,NJ,compugra,0.5
2017,AL,dst health,70480,2017,AL,dst health,1.0
2014,CO,sovrn s,100000,2014,CO,sovrn s,1.0
2019,OH,digitek,105934,2019,OH,digitek,0.5
2018,VA,abas,80000,2018,VA,abas,1.0
2019,NC,bandwidth,112331,2019,NC,bandwidth,1.0
2015,MO,dst retirement,62608,2015,MO,dst retirement,1.0
2018,MD,canton chem,75000,2018,MD,canton chem,1.0
2018,NY,roosevelt management,96000,2018,NY,roosevelt management,0.5
2015,CA,zanbato,93000,2015,CA,zanbato,1.0
2015,CA,clerky,114400,2015,CA,clerky,1.0
2019,CA,vision,109250,2019,CA,vision,1.0
2017,MA,vantiv ecommerce,68786,2017,MA,vantiv ecommerce,1.0
2014,WA,avalara,105000,2014,WA,avalara,1.0
2015,NY,factory 798 media,48048,2015,NY,factory 798 media,1.0
2019,CA,connectiq,110000,2019,CA,connectiq,1.0
2017,CA,honeycomb,92000,2017,CA,honeycomb,1.0
2016,NE,national indemnity,56000,2016,NE,national indemnity,1.0
2018,MI,denso manufacturing michigan,75000,2018,MI,denso manufacturing michigan,1.0
2019,ND,noridian healthcare,84656,2019,ND,noridian healthcare,1.0
2019,VA,uniplus consultants,120000,2019,VA,uniplus consultants,1.0
2018,NJ,firefly pros,117624,2018,NJ,firefly pros,0.5
2018,CA,wilco source,120000,2018,CA,wilco source,0.25
2019,TX,ksquare,93538,2019,TX,ksquare,1.0
2017,NH,fy,60000,2017,NH,fy,1.0
2015,CA,relcy,115000,2015,CA,relcy,1.0
2016,NJ,galaxe,100000,2016,NJ,galaxe,1.0
2014,WA,seattle wunderman,46000,2014,WA,seattle wunderman,1.0
2016,TX,quant,65042,2016,TX,quant,1.0
2016,CA,compvue,125000,2016,CA,compvue,1.0
2019,CO,spatial,95000,2019,CO,spatial,1.0
2018,NJ,santech,88000,2018,NJ,santech,1.0
2015,CA,agralogics,110000,2015,CA,agralogics,1.0
2014,PA,icon,90000,2014,PA,icon,1.0
2016,IL,prevail health,58000,2016,IL,prevail health,1.0
2016,MA,westnet,45000,2016,MA,westnet,1.0
2015,CA,moxtra,100000,2015,CA,moxtra,1.0
2016,MA,vicor,74402,2016,MA,vicor,1.0
2019,CA,k2 cyber security,100000,2019,CA,k2 cyber security,1.0
